flat,park_dist,num_park_2km
803 CHAI CHEE RD,0.29568641041734484,19
798 WOODLANDS DR 72,2.3646431338530585,0
206 BT BATOK ST 21,1.3966811817312954,10
352 YISHUN RING RD,0.34450348019969,3
450 BT PANJANG RING RD,1.2524606841081267,9
195C PUNGGOL RD,0.9696617429878389,3
424 SERANGOON CTRL,0.7100355928468344,27
407 SERANGOON AVE 1,0.6201827690668608,26
202B PUNGGOL FIELD,0.8419517954964746,3
374 CLEMENTI AVE 4,0.8254398024425837,23
727 CLEMENTI WEST ST 2,0.41138385963767654,8
111 ANG MO KIO AVE 4,0.3029393534254545,31
889 TAMPINES ST 81,1.2860364674900824,2
603 HOUGANG AVE 4,0.5975187240190843,13
118D JLN MEMBINA,0.39900737627978056,8
243 BISHAN ST 22,0.29878979507129994,22
113 BT PURMEI RD,0.9710321575043095,7
345 YISHUN AVE 11,0.48162190245553416,3
607 SENJA RD,0.873996559663717,11
341 CLEMENTI AVE 5,0.6390803917997467,24
436 TAMPINES ST 43,0.5770284632015654,11
401 FAJAR RD,0.8841799310075612,9
588A MONTREAL DR,0.41983597579557597,7
209 JURONG EAST ST 21,1.0131437559105974,1
621 WOODLANDS DR 52,2.1013705941337455,0
360B ADMIRALTY DR,1.6004111380901793,3
218 YISHUN ST 21,0.531042530820799,7
586 WOODLANDS DR 16,1.9331842396609402,1
53 KENT RD,0.805619644539577,15
278 BISHAN ST 24,0.45768847428930187,22
3 HOLLAND CL,0.4079874673946793,19
431D YISHUN AVE 1,0.6876257519089845,3
475B UPP SERANGOON CRES,0.19535280253163995,5
530 BT BATOK ST 51,0.56897422323032,9
22 JLN MEMBINA,0.4042954356067027,8
871 YISHUN ST 81,0.6802699566458245,4
631 JURONG WEST ST 65,0.9689007845368675,5
269A PUNGGOL FIELD,1.0841249493123977,4
118 LOR 1 TOA PAYOH,1.018513077130251,11
349 YISHUN AVE 11,0.21293388954366882,4
405 BT BATOK WEST AVE 7,1.0275568815403326,7
301 CLEMENTI AVE 4,0.5363361659266069,20
2 EAST COAST RD,0.10745351329306742,18
682 RACE COURSE RD,0.41621249619052353,16
115 JURONG EAST ST 13,0.6356389024538931,2
602 YISHUN ST 61,0.6611806356151841,7
419 ANG MO KIO AVE 10,0.7202760346188367,17
989B JURONG WEST ST 93,0.27967975988196353,3
299A TAMPINES ST 22,0.8337688702281956,13
628 YISHUN ST 61,0.9384508986374839,5
211A COMPASSVALE LANE,0.8559791662216877,3
272A PUNGGOL WALK,0.9833496217741228,4
303A ANCHORVALE LINK,1.4227095757441204,7
119 ANG MO KIO AVE 3,0.5329556904459586,21
705 WOODLANDS DR 40,1.6430945068110332,2
101 C'WEALTH CRES,0.7163737848337822,15
270 TAMPINES ST 21,1.1612198162186347,11
305 UBI AVE 1,1.4141879335474763,7
276 CHOA CHU KANG AVE 2,1.1526720795522238,4
4 TECK WHYE AVE,0.8311663851223322,6
9 TOH YI DR,0.33810823640559584,20
112 SERANGOON NTH AVE 1,0.7022955318990858,23
804 KING GEORGE'S AVE,0.15364162718299054,14
829 YISHUN ST 81,0.5216370642273601,8
204C PUNGGOL FIELD,0.7107736828658985,3
698A HOUGANG ST 61,0.8492291443636698,12
202 ANG MO KIO AVE 3,0.6417405204911975,21
2 REDHILL CL,0.8322130871892736,7
864 WOODLANDS ST 83,1.4853308479913006,2
59B GEYLANG BAHRU,0.3038391527196206,10
220 SERANGOON AVE 4,0.5461326393722516,22
367 CORPORATION DR,0.26971456235779734,4
273 PASIR RIS ST 21,0.262093773823973,7
737 YISHUN ST 72,0.7214888605912071,7
445 HOUGANG AVE 8,0.5417155596083045,8
848 YISHUN ST 81,0.773252017611856,6
444 CHOA CHU KANG AVE 4,1.4782234935419187,3
244 BT PANJANG RING RD,0.8519630950052286,9
337 HOUGANG AVE 7,0.613914050944136,6
658 YISHUN AVE 4,0.4426465232731881,6
315B YISHUN AVE 9,0.5890497303189514,6
870 WOODLANDS ST 81,0.7460844150729855,3
205A PUNGGOL FIELD,0.7822176329595498,4
2 HOLLAND AVE,0.2637284917620876,19
556 JURONG WEST ST 42,1.5004266873322696,3
20 LOR 7 TOA PAYOH,1.0725444487483529,7
607 HOUGANG AVE 4,0.5230743239387291,14
175 WOODLANDS ST 13,0.36047849385861164,3
11 HOLLAND DR,0.3387057781425411,18
981D BUANGKOK CRES,0.47358915480886593,18
680 WOODLANDS AVE 6,2.2883528539261864,0
346 WOODLANDS ST 32,0.48751958332306067,3
115 BEDOK NTH RD,0.8001391659881841,22
276 YISHUN ST 22,0.3080587645679047,8
668C JURONG WEST ST 64,0.6181596209955289,6
19 GHIM MOH RD,0.5230151597454283,18
482 SEGAR RD,1.7638106395949067,2
103 HOUGANG AVE 1,0.4903303531522085,17
22 EUNOS CRES,1.1454742462157692,11
738 JURONG WEST ST 75,0.6227560542902543,5
34 CIRCUIT RD,0.8044352744577873,13
221 PENDING RD,0.29568074094654245,10
179 WOODLANDS ST 13,0.22351744735516374,4
596C ANG MO KIO ST 52,0.15173695338156867,20
164 WOODLANDS ST 13,0.6741965921531945,3
418 PASIR RIS DR 6,0.22334575624970499,8
574 HOUGANG ST 51,1.0929354016507073,12
49 LOR 5 TOA PAYOH,0.9443574904428259,10
805 KING GEORGE'S AVE,0.18630931269628753,13
432 JURONG WEST ST 42,1.4880238288079435,2
27 BALAM RD,0.6412781234084933,14
675B JURONG WEST ST 64,0.7254444881622405,6
261 BISHAN ST 22,0.5196420001010655,22
309A ANCHORVALE RD,0.8796923664913414,7
8 TG PAGAR PLAZA,0.43160688504996153,16
172C EDGEDALE PLAINS,0.8188191927240023,4
302 BT BATOK ST 31,0.851426639426048,7
427 YISHUN AVE 11,0.6612301771018901,2
180D RIVERVALE CRES,0.7831520485985404,3
744 WOODLANDS CIRCLE,1.5514635127334349,2
239 COMPASSVALE WALK,0.6214571362440504,3
899C WOODLANDS DR 50,1.6917496095007047,2
419 CHOA CHU KANG AVE 4,1.1050428713145641,4
115 HO CHING RD,0.7701277953505538,4
34 JLN BT HO SWEE,0.3436999529290016,8
331 JURONG EAST AVE 1,1.635258401572327,3
353C ADMIRALTY DR,1.1214996267689412,4
670 HOUGANG AVE 8,0.6911058658704587,14
616 HOUGANG AVE 8,0.30589655609904337,14
312B ANCHORVALE LANE,0.8628608779438908,7
5 TELOK BLANGAH CRES,0.39659485222007973,8
632 JURONG WEST ST 65,0.87494900734455,5
506 BISHAN ST 11,0.37185258555069944,17
286 BT BATOK EAST AVE 3,0.7876835548119263,20
513 JELAPANG RD,1.705124296139735,7
236 CHOA CHU KANG CTRL,0.9322135035840131,5
232 BT BATOK EAST AVE 5,0.8961905975625889,12
142 BT BATOK ST 11,1.6801022583798626,1
323 ANG MO KIO AVE 3,0.4210614084018119,18
281 CHOA CHU KANG AVE 3,1.170724058206935,4
139 BT BATOK WEST AVE 6,1.4942186801461033,5
711 PASIR RIS ST 72,0.9034512403042088,4
109 SERANGOON NTH AVE 1,0.5798523383124125,24
139 BISHAN ST 12,0.9235714981041436,14
406C FERNVALE RD,0.3706277392642586,20
188 BISHAN ST 13,0.6447048351671681,20
335A SMITH ST,0.19357231533281927,22
932 YISHUN CTRL 1,0.2936968935195704,8
766 YISHUN AVE 3,0.6943750781155079,8
116 EDGEFIELD PLAINS,0.5470320155627814,3
361 WOODLANDS AVE 5,0.686387458642452,3
167D PUNGGOL EAST,0.8552945521844699,3
340 CHOA CHU KANG LOOP,0.6789668280643693,4
22 TELOK BLANGAH CRES,0.22733300660356098,6
546 CHOA CHU KANG ST 52,0.7173503939339162,2
139 BEDOK RESERVOIR RD,0.6566129546294192,9
23 DOVER CRES,0.5110615583519185,15
917 JURONG WEST ST 91,0.6457814929248237,3
222 BISHAN ST 23,0.39206753996662447,22
176A EDGEFIELD PLAINS,0.8834966247905713,3
183 PASIR RIS ST 11,0.5973153463789631,9
319A ANCHORVALE DR,1.173756130193568,5
774 YISHUN AVE 3,0.779116118004254,8
9 JLN BATU,0.32286169107584434,9
321 TAH CHING RD,0.7120941808106894,4
207 BISHAN ST 23,0.555880726119434,18
650 WOODLANDS RING RD,2.1684551868689947,0
804 YISHUN RING RD,0.8812951281222741,7
104 RIVERVALE WALK,0.678411118836272,3
547A SEGAR RD,1.6551049042207402,5
204 SERANGOON CTRL,0.8298093277209834,25
