flat,mall,mall_dist,num_mall_2km
112 YISHUN RING RD,Sembawang Shopping Centre,0.9710041982494599,5
585 WOODLANDS DR 16,888 Plaza,0.8531654290013746,5
669 HOUGANG AVE 8,Hougang 1,0.5763716872675668,6
420 FAJAR RD,Fajar Shopping Centre,0.1827526795338603,6
350 UBI AVE 1,Singapore Post Centre (Singpost Centre),1.055906488601567,4
122B SENGKANG EAST WAY,Rivervale Plaza,0.5577976408005818,5
703 WOODLANDS DR 40,888 Plaza,0.44663927818606514,4
256 BISHAN ST 22,AMK Hub,1.1010100909549636,4
504 BEDOK NTH ST 3,Djitsun Mall,0.7149617273756151,5
626 CHOA CHU KANG ST 62,Yew Tee Square,0.13741959888395433,4
547 ANG MO KIO AVE 10,AMK Hub,1.2070723010546764,3
195E PUNGGOL RD,Oasis Terraces,0.6856340176631813,6
319 UBI AVE 1,Singapore Post Centre (Singpost Centre),1.430298465995368,4
288 CHOA CHU KANG AVE 3,Sunshine Place,0.25175717871576825,5
277B COMPASSVALE LINK,Hougang Green Shopping Mall,0.8132501635553501,8
881 TAMPINES ST 84,Our Tampines Hub,0.9017000657282604,4
133 SIMEI ST 1,Eastpoint Mall,0.5977894909918989,6
89 TANGLIN HALT RD,Rochester Mall,1.2551922617401798,5
310 SHUNFU RD,Thomson Plaza,1.0056123245862982,2
296 CHOA CHU KANG AVE 2,Sunshine Place,0.20362423949933814,5
857 WOODLANDS ST 83,888 Plaza,0.3742353748974467,5
496D TAMPINES AVE 9,Tampines 1,0.9713319374714603,7
556 ANG MO KIO AVE 10,AMK Hub,1.0591180225551293,2
395 TAMPINES AVE 7,Tampines 1,1.225818816206719,7
50 DORSET RD,Serangoon Plaza,0.5424976328743829,24
180B MARSILING RD,Marsiling Mall,0.6324430464010631,3
43 LENGKOK BAHRU,Alexandra Central,0.6241465660638005,6
269C PUNGGOL FIELD,Waterway Point,0.514039783705089,5
711 HOUGANG AVE 2,Heartland Mall,0.8052994407202971,6
213 BISHAN ST 23,Junction 8,0.775280270487618,3
132 YISHUN ST 11,Northpoint City,0.7457031148426463,5
826 YISHUN ST 81,Wisteria Mall,1.0649429189787896,2
246 JURONG EAST ST 24,Westgate,0.8857477907085882,5
128 POTONG PASIR AVE 1,NEX,1.880667453875506,1
180B RIVERVALE CRES,Rivervale Mall,0.6080823063996663,6
542 ANG MO KIO AVE 10,AMK Hub,1.0138227284719334,2
417 BT BATOK WEST AVE 4,West Mall,1.4339301011162497,4
415 SERANGOON CTRL,NEX,0.3092505706381615,3
270A SENGKANG CTRL,Compass One,0.7059119208753937,8
214 BEDOK NTH ST 1,Bedok Point,0.11944410070444914,5
127 SIMEI ST 1,Eastpoint Mall,0.4632318593374037,7
235 CHOA CHU KANG CTRL,Teck Whye Shopping Centre,0.41336333045924634,9
788C WOODLANDS CRES,Admiralty Place,0.4413126056858203,4
22 HAVELOCK RD,Tiong Bahru Plaza,0.31942839306056214,23
474 TAMPINES ST 43,Tampines 1,1.0491486304498736,8
14 BEDOK STH AVE 2,Bedok Point,0.5689034522023949,5
265 BOON LAY DR,Boon Lay Shopping Centre,0.6581492751213954,5
303 ANG MO KIO AVE 1,AMK Hub,0.4695525227018451,3
479 PASIR RIS DR 4,Downtown East,0.570980233278009,4
