flat,hawker,hawker_dist,num_hawker_2km
980 JURONG WEST ST 93,Blk 505 Jurong West Street 52,2.992825962699341,0
82 STRATHMORE AVE,ABC Brickworks Market & Food Centre,0.8424001072725458,5
588C ANG MO KIO ST 52,Blk 724 Ang Mo Kio Ave 6,0.7969243705554631,4
106 LENGKONG TIGA,Blk 4A Eunos Crescent,0.8215005597795223,5
212B COMPASSVALE DR,Market Street Food Centre,3.4016782568695123,0
112 YISHUN RING RD,Chong Pang Market & Food Centre,0.272180234133333,2
585 WOODLANDS DR 16,Blks 20/21 Marsiling Lane,2.569789075065549,0
669 HOUGANG AVE 8,Market Street Food Centre,1.5932772313917447,2
420 FAJAR RD,Bukit Timah Market,5.0337331866662876,0
350 UBI AVE 1,Blk 4A Eunos Crescent,0.6923394691007835,8
122B SENGKANG EAST WAY,Market Street Food Centre,3.8500396424000654,0
703 WOODLANDS DR 40,Blks 20/21 Marsiling Lane,2.1784788900849215,0
256 BISHAN ST 22,Blk 320 Shunfu Road,1.2064944328764862,4
504 BEDOK NTH ST 3,Market Street Food Centre,0.24560603277659393,7
626 CHOA CHU KANG ST 62,Blks 20/21 Marsiling Lane,6.073016341248676,0
547 ANG MO KIO AVE 10,Blk 409 Ang Mo Kio Ave 10,1.3039148878158926,4
195E PUNGGOL RD,Market Street Food Centre,5.266122214166517,0
319 UBI AVE 1,Blk 4A Eunos Crescent,0.8809753854050636,3
288 CHOA CHU KANG AVE 3,Market Street Food Centre,3.9327710113916674,0
277B COMPASSVALE LINK,Market Street Food Centre,2.736298519783819,0
881 TAMPINES ST 84,Market Street Food Centre,1.4988447014684212,1
133 SIMEI ST 1,Market Street Food Centre,1.2456550517470826,1
89 TANGLIN HALT RD,Tanglin Halt Market,0.15150467655443073,6
310 SHUNFU RD,Blk 320 Shunfu Road,0.22346605848585968,2
296 CHOA CHU KANG AVE 2,Market Street Food Centre,3.7625722808213817,0
857 WOODLANDS ST 83,Blks 20/21 Marsiling Lane,1.9111359986070413,4
496D TAMPINES AVE 9,Market Street Food Centre,1.851840840204073,1
556 ANG MO KIO AVE 10,Blk 409 Ang Mo Kio Ave 10,1.0546039783509045,4
395 TAMPINES AVE 7,Market Street Food Centre,1.693627294304916,1
50 DORSET RD,Pek Kio Market & Food Centre,0.342484976284142,9
180B MARSILING RD,Blks 20/21 Marsiling Lane,0.5082241813356925,4
43 LENGKOK BAHRU,ABC Brickworks Market & Food Centre,0.3197186379966869,6
269C PUNGGOL FIELD,Market Street Food Centre,5.118341732166752,0
711 HOUGANG AVE 2,Market Street Food Centre,0.823091613767881,2
213 BISHAN ST 23,Blk 409 Ang Mo Kio Ave 10,1.0135239820889952,3
132 YISHUN ST 11,Chong Pang Market & Food Centre,0.34137247919157615,2
826 YISHUN ST 81,Chong Pang Market & Food Centre,1.9705907419566093,1
246 JURONG EAST ST 24,Market Street Food Centre,0.3119171616589038,1
