flat,supermarket_dist,num_supermarket_2km
542 ANG MO KIO AVE 10,0.3121755088851834,14
417 BT BATOK WEST AVE 4,0.3851517330936654,13
415 SERANGOON CTRL,0.31905234609924227,13
270A SENGKANG CTRL,0.1493518479331906,17
214 BEDOK NTH ST 1,0.09520231001400108,21
127 SIMEI ST 1,0.3092881300119184,17
235 CHOA CHU KANG CTRL,0.3726097550431491,14
788C WOODLANDS CRES,0.37497052162987077,18
22 HAVELOCK RD,0.2916854064965751,28
474 TAMPINES ST 43,0.06267486411373031,18
14 BEDOK STH AVE 2,0.18085732245770736,19
265 BOON LAY DR,0.49339890989679513,12
303 ANG MO KIO AVE 1,0.3503625644322522,15
479 PASIR RIS DR 4,0.18727933320202933,9
5 UPP ALJUNIED LANE,0.13530914874786973,11
110 CLEMENTI ST 13,0.10639442908773093,12
104 JURONG EAST ST 13,0.0,23
347 WOODLANDS AVE 3,0.41855599090246404,8
892 TAMPINES AVE 8,0.5329958866178692,12
335 UBI AVE 1,0.4351048010105167,18
10 EUNOS CRES,0.15261344712820496,22
260 TAMPINES ST 21,0.3493396940547204,18
391 TAMPINES AVE 7,0.270404982480967,16
107 PASIR RIS ST 12,0.21125895817509394,12
151 SIMEI ST 1,0.5788451553447481,17
441 JURONG WEST AVE 1,0.10090730750299101,8
9 REDHILL CL,0.2476073187348361,18
375 HOUGANG ST 31,0.49492276854824224,15
82 MACPHERSON LANE,0.41318203451585517,12
927 HOUGANG ST 91,0.18676158077945898,19
310C PUNGGOL WALK,0.13339068977214863,15
285B TOH GUAN RD,0.39241831530589066,17
355 TAMPINES ST 33,0.16871253150920207,14
390 YISHUN AVE 6,0.49395174655463403,14
122 GEYLANG EAST CTRL,0.3697247007113845,27
410 TAMPINES ST 41,0.31337325139351907,18
130 BT MERAH VIEW,0.25598869934375074,16
517 CHOA CHU KANG ST 51,0.11331250962099376,9
18 TECK WHYE LANE,0.0,16
570B WOODLANDS AVE 1,0.0,11
296 YISHUN ST 20,0.14206112457231682,15
210 BT BATOK ST 21,0.3952831651912773,18
651 YISHUN AVE 4,0.5686157536635168,16
520 JELAPANG RD,0.1349159921874461,11
405B FERNVALE LANE,0.37066475952354383,12
612 ELIAS RD,0.4360176838417868,7
109A DEPOT RD,0.09549370819326018,13
206D COMPASSVALE LANE,0.4817741749551746,16
411B FERNVALE RD,0.1663433275616894,13
786D WOODLANDS DR 60,0.21259763450563446,17
104 BEDOK RESERVOIR RD,0.5629839069690985,15
10 JLN KUKOH,0.2789677836652092,30
538 JURONG WEST AVE 1,0.2672535646238937,10
352 TAMPINES ST 33,0.25912263750577397,12
370 WOODLANDS AVE 1,0.2743498872108685,11
314 TAMPINES ST 33,0.42730466875544537,15
808 TAMPINES AVE 4,0.3271697886384839,19
602 WOODLANDS DR 42,0.1705459228776036,14
271C PUNGGOL WALK,0.18296256150800846,17
37 TANGLIN HALT RD,0.452855673439633,17
401 CHOA CHU KANG AVE 3,0.2031111515892642,10
301 JURONG EAST ST 32,0.5034168001002213,17
795A YISHUN RING RD,0.22482868222245317,16
41 HOLLAND DR,0.19207539958935455,14
633 VEERASAMY RD,0.32522280403458464,26
5 BEDOK STH AVE 2,0.1771832370677276,19
347B YISHUN AVE 11,0.2848498737124878,17
2A BOON TIONG RD,0.25775706606352394,28
246 BISHAN ST 22,0.38302088206110824,16
35 CIRCUIT RD,0.09919210532121572,22
252 HOUGANG AVE 3,0.3152714784175725,12
611 JURONG WEST ST 65,0.49591402418082214,8
375 CLEMENTI AVE 4,0.2782319170384343,13
192 PASIR RIS ST 12,0.30789411098916286,12
157 YISHUN ST 11,0.3232313168619536,18
111 EDGEFIELD PLAINS,0.25530552783583665,18
23 BENDEMEER RD,0.5746715267317277,27
34 CASSIA CRES,0.20313443712613244,23
17 EUNOS CRES,0.2588341044568287,18
761 CHOA CHU KANG NTH 5,0.4885313671089435,12
248 JURONG EAST ST 24,0.6188404772652684,19
771 WOODLANDS DR 60,0.10919208801341769,15
6B BOON TIONG RD,0.25555393975669277,27
5 SEMBAWANG RD,0.18390523939383663,5
212 BT BATOK ST 21,0.3583926898963703,17
140 BISHAN ST 12,0.4811894943108939,11
988B BUANGKOK GREEN,0.2366862081299467,15
980B BUANGKOK CRES,0.23809538690261228,18
860 TAMPINES AVE 5,0.3650958779546342,14
787 CHOA CHU KANG NTH 6,0.2109711237044834,10
281 TAMPINES ST 22,0.10609385859128087,18
183D RIVERVALE CRES,0.4881246438654354,16
