,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,448B SENGKANG WEST WAY FERNVALE CREST SINGAPORE 792448,448B,FERNVALE CREST,1.3934198169999998,103.8733199,103.8733199,792448,SENGKANG WEST WAY,FERNVALE CREST,32451.617580000002,41702.837210000005,448B SENGKANG WEST WAY
0,420 TAMPINES STREET 41 SUN PLAZA GARDENS SINGAPORE 520420,420,SUN PLAZA GARDENS,1.357864662,103.9475346,103.9475346,520420,TAMPINES STREET 41,SUN PLAZA GARDENS,40710.92714,37771.59135,420 TAMPINES ST 41
0,416 HOUGANG AVENUE 10 HARMONY VIEW SINGAPORE 530416,416,HARMONY VIEW,1.375685703,103.89628379999999,103.89628379999999,530416,HOUGANG AVENUE 10,HARMONY VIEW,35007.25268,39741.9435,416 HOUGANG AVE 10
0,474 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560474,474,TECK GHEE HORIZON,1.362757847,103.85801529999999,103.85801529999999,560474,ANG MO KIO AVENUE 10,TECK GHEE HORIZON,30748.45675,38312.36871,474 ANG MO KIO AVE 10
0,126 SERANGOON NORTH AVENUE 1 HDB-SERANGOON NORTH ESTATE SINGAPORE 550126,126,HDB-SERANGOON NORTH ESTATE,1.366058217,103.87187490000001,103.87187490000001,550126,SERANGOON NORTH AVENUE 1,HDB-SERANGOON NORTH ESTATE,32290.853180000002,38677.32716,126 SERANGOON NTH AVE 1
0,33 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 461033,33,ANSAR GARDEN,1.324009118,103.9258481,103.9258481,461033,CHAI CHEE AVENUE,ANSAR GARDEN,38297.61597,34027.9104,33 CHAI CHEE AVE
0,511 WOODLANDS DRIVE 14 HDB-WOODLANDS SINGAPORE 730511,511,HDB-WOODLANDS,1.4334529569999999,103.78865400000001,103.78865400000001,730511,WOODLANDS DRIVE 14,HDB-WOODLANDS,23029.50459,46129.51045,511 WOODLANDS DR 14
0,337 TAMPINES STREET 32 HDB-TAMPINES SINGAPORE 520337,337,HDB-TAMPINES,1.35238866,103.9598771,103.9598771,520337,TAMPINES STREET 32,HDB-TAMPINES,42084.540389999995,37166.149919999996,337 TAMPINES ST 32
0,490D CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 684490,490D,SUNSHINE GARDENS,1.3760286919999998,103.7413682,103.7413682,684490,CHOA CHU KANG AVENUE 5,SUNSHINE GARDENS,17767.05803,39779.9744,490D CHOA CHU KANG AVE 5
0,441A FERNVALE ROAD FERNVALE VISTA SINGAPORE 791441,441A,FERNVALE VISTA,1.391097836,103.8751662,103.8751662,791441,FERNVALE ROAD,FERNVALE VISTA,32657.09515,41446.08785,441A FERNVALE RD
0,134 RIVERVALE STREET RIVERVALE PLAINS SINGAPORE 540134,134,RIVERVALE PLAINS,1.3878646769999998,103.90467290000001,103.90467290000001,540134,RIVERVALE STREET,RIVERVALE PLAINS,35940.812560000006,41088.65995,134 RIVERVALE ST
0,613A PUNGGOL DRIVE DAMAI GROVE SINGAPORE 821613,613A,DAMAI GROVE,1.40442052,103.907861,103.907861,821613,PUNGGOL DRIVE,DAMAI GROVE,36295.554410000004,42919.33368,613A PUNGGOL DR
0,352A CANBERRA ROAD HDB-SEMBAWANG SINGAPORE 751352,352A,HDB-SEMBAWANG,1.450655082,103.81965090000001,103.81965090000001,751352,CANBERRA ROAD,HDB-SEMBAWANG,26479.00316,48031.59114,352A CANBERRA RD
0,620 ANG MO KIO AVENUE 9 HDB-ANG MO KIO SINGAPORE 560620,620,HDB-ANG MO KIO,1.382440829,103.8395464,103.8395464,560620,ANG MO KIO AVENUE 9,HDB-ANG MO KIO,28693.07487,40488.79961,620 ANG MO KIO AVE 9
