flat,school,school_dist,num_school_2km
662 YISHUN AVE 4,Northland Primary School,0.09646867969856142,11
894B WOODLANDS DR 50,Woodlands Primary School,0.24223910331213722,12
128 RIVERVALE ST,North Spring Primary School,0.3401606902766298,19
750 WOODLANDS AVE 4,Evergreen Primary School,0.07964398567852557,10
326 TAMPINES ST 32,East Spring Primary School,0.3538010730977335,9
79 MARINE DR,Tao Nan School,0.5098038559734368,4
309 CANBERRA RD,Sembawang Primary School,0.19882257968717384,6
805 CHAI CHEE RD,Opera Estate Primary School,0.5348470245883888,9
103 SPOTTISWOODE PK RD,Cantonment Primary School,0.5250875775993293,5
980 JURONG WEST ST 93,Jurong West Primary School,0.5815755528077047,7
82 STRATHMORE AVE,Queenstown Primary School,0.18546567393807856,4
588C ANG MO KIO ST 52,Jing Shan Primary School,0.20709442777738535,8
106 LENGKONG TIGA,Eunos Primary School,0.6317683669943568,7
212B COMPASSVALE DR,Seng Kang Primary School,0.3575660742412453,18
112 YISHUN RING RD,Ahmad Ibrahim Primary School,0.43395470613307585,10
585 WOODLANDS DR 16,Innova Primary School,0.539536421884012,10
669 HOUGANG AVE 8,Xinmin Primary School,0.24633039895958905,13
420 FAJAR RD,Greenridge Primary School,0.23284394819089413,8
350 UBI AVE 1,Maha Bodhi School,0.2890844102699433,5
122B SENGKANG EAST WAY,North Spring Primary School,0.338634493728008,16
703 WOODLANDS DR 40,Evergreen Primary School,0.4191194283754117,10
256 BISHAN ST 22,Catholic High School (Primary),0.7848626848294311,12
504 BEDOK NTH ST 3,Fengshan Primary School,0.18086632325991686,8
626 CHOA CHU KANG ST 62,De La Salle School,0.4500356305493347,6
547 ANG MO KIO AVE 10,Jing Shan Primary School,0.7567672034679253,7
195E PUNGGOL RD,Edgefield Primary School,0.15954181438149848,14
319 UBI AVE 1,Maha Bodhi School,0.23048266141387835,5
288 CHOA CHU KANG AVE 3,Chua Chu Kang Primary School,0.16149339818030728,6
277B COMPASSVALE LINK,North Vista Primary School,0.16168187486041682,17
881 TAMPINES ST 84,Poi Ching School,0.699633798725676,5
133 SIMEI ST 1,Angsana Primary School,0.46695967797794224,9
89 TANGLIN HALT RD,New Town Primary School,0.19250827652495148,3
310 SHUNFU RD,Catholic High School (Primary),0.7293420339500872,7
296 CHOA CHU KANG AVE 2,Chua Chu Kang Primary School,0.125428282941032,6
857 WOODLANDS ST 83,Evergreen Primary School,0.4338218798075468,10
496D TAMPINES AVE 9,Tampines North Primary School,0.15639705334989343,13
556 ANG MO KIO AVE 10,Jing Shan Primary School,0.6472449221161138,8
395 TAMPINES AVE 7,East Spring Primary School,0.7117732673581568,11
50 DORSET RD,Farrer Park Primary School,0.06941986746488385,6
180B MARSILING RD,Marsiling Primary School,0.7283685435553383,8
43 LENGKOK BAHRU,Gan Eng Seng Primary School,0.4832938872344362,9
269C PUNGGOL FIELD,Punggol Green Primary School,0.2060072995754168,16
711 HOUGANG AVE 2,Holy Innocents' Primary School,0.6590698386359056,11
213 BISHAN ST 23,Catholic High School (Primary),0.5362967592617599,10
132 YISHUN ST 11,Ahmad Ibrahim Primary School,0.21393347238013818,11
826 YISHUN ST 81,Peiying Primary School,0.4305605104233094,5
