flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
894C WOODLANDS DR 50,Woodlands Primary School,0.2022040728710457,12,Blks 20/21 Marsiling Lane,1.716880873539487,4,1.239146788732661,2,Causeway Point,0.4828883242315193,5,WOODLANDS MRT STATION,0.2691709689397305,5,0.3789825947128167,16,16.268262816396387
546 SERANGOON NTH AVE 3,Rosyth School,0.5284876109839494,8,Chomp Chomp Food Centre,1.2122414635862164,2,0.6329116920865506,25,Hougang 1,1.0334932061961533,4,FERNVALE LRT STATION,2.032375068588655,0,0.1630821128311558,15,8.770740184484824
342 TAMPINES ST 33,East Spring Primary School,0.2095771598018175,8,Market Street Food Centre,2.004789219518398,0,0.4553086401861296,11,Eastpoint Mall,1.356006711765024,5,TAMPINES EAST MRT STATION,0.9761719664351572,6,0.4229397796142192,15,14.177142663131606
619 BEDOK RESERVOIR RD,Damai Primary School,0.4484604903552,9,Blk 538 Bedok North Street 3,0.8407018355141532,4,0.3651854052828797,10,Djitsun Mall,1.5561629001178372,4,BEDOK NORTH MRT STATION,0.1454735604272879,5,0.3126856311526547,17,8.900408737330563
30 TEBAN GDNS RD,Fuhua Primary School,1.7435435555962306,1,Taman Jurong Market & Food Centre,2.474425394603869,0,1.1301389169436455,2,Big Box,1.3781427574601894,4,JURONG EAST MRT STATION,1.410119696426027,2,0.1693619103519708,15,12.057147879186466
5 MARINE TER,Ngee Ann Primary School,0.1228684115224848,5,Blk 50A Marine Terrace,0.211209122388309,2,0.4061250316027062,12,112 Katong,1.351208793736431,7,KEMBANGAN MRT STATION,1.883532574598808,1,0.2362317625450788,10,8.027776374822
907 TAMPINES AVE 4,Junyuan Primary School,0.3021238413054426,10,Market Street Food Centre,0.7865035875713763,1,1.1114866212407026,3,Our Tampines Hub,0.3190998217234013,5,TAMPINES WEST MRT STATION,0.5742527785184534,6,0.522186070142013,13,11.911431799789273
454 HOUGANG AVE 10,Punggol Primary School,0.0731924512052366,17,Market Street Food Centre,2.3504968231245265,0,0.384604935190539,7,Hougang Mall,0.659984405004741,8,BUANGKOK MRT STATION,0.5814349758206515,11,0.4494175538014173,17,10.350760534785755
678 WOODLANDS AVE 6,Admiralty Primary School,0.3010926715242119,11,Blks 20/21 Marsiling Lane,2.734241319117604,0,2.208142727630796,0,Admiralty Place,0.0603784531825949,4,ADMIRALTY MRT STATION,0.0648034214031785,4,0.0500476736265943,15,16.339408662311097
522 HOUGANG AVE 6,Montfort Junior School,0.2476438301014479,14,Market Street Food Centre,1.710469905193713,2,0.4403049982386831,10,Hougang Mall,0.234739016855602,7,HOUGANG MRT STATION,0.2424361093461873,7,0.2461383725082081,17,9.696820320174844
296B COMPASSVALE CRES,Compassvale Primary School,0.3784870345583384,18,Market Street Food Centre,4.508721834427668,0,0.8277058886083991,4,Compass One,0.7782585500847609,6,COMPASSVALE LRT STATION,0.3720193461969406,26,0.4750205319808956,20,12.423327258570227
105 PASIR RIS ST 12,Casuarina Primary School,0.4770047017471657,7,Market Street Food Centre,2.8702888817529346,0,0.6352697883668387,10,Loyang Point,0.8627846696711035,3,PASIR RIS MRT STATION,1.0082251545760743,2,0.185852687050209,12,14.607585951143555
21 BALAM RD,Canossa Catholic Primary School,0.7784329021570923,7,Blks 79/79A Circuit Road,0.5673006723749477,4,0.6532767629235582,14,Paya Lebar Square,1.5171677701453277,4,TAI SENG MRT STATION,0.4871738733653866,11,0.2640659260508958,17,5.827711941185782
310C ANG MO KIO AVE 1,Teck Ghee Primary School,0.6909338432722676,10,Blk 724 Ang Mo Kio Ave 6,0.8590595198329134,4,0.442424548885314,25,AMK Hub,0.6647894052040557,4,ANG MO KIO MRT STATION,0.7874320728838855,5,0.3144703904185392,18,7.221137032849396
866 WOODLANDS ST 83,Evergreen Primary School,0.3504854628464965,10,Blks 20/21 Marsiling Lane,1.7484324044487896,4,1.2254251981464397,3,888 Plaza,0.5632513779321472,5,WOODLANDS MRT STATION,0.8079969507796528,4,0.251198489199089,15,16.778605357469417
660C JURONG WEST ST 64,Frontier Primary School,0.4504479799991201,10,Taman Jurong Market & Food Centre,1.9929969718348544,1,0.4851402716084773,5,Jurong Point,0.4509996642268349,5,BOON LAY MRT STATION,0.3401431622684621,2,0.3466983673909176,9,16.286088078785095
143 POTONG PASIR AVE 2,Cedar Primary School,1.0806319092130847,9,Blk 210 Toa Payoh Lorong 8,1.494485182116681,3,0.8429819194262634,10,NEX,2.06430796165534,0,POTONG PASIR MRT STATION,0.3620494001905083,5,0.1049793118583006,15,4.382349866960963
17 TECK WHYE LANE,Teck Whye Primary School,0.4829931509027431,11,Market Street Food Centre,4.332446900506229,0,0.5187946547085321,8,Teck Whye Shopping Centre,0.188590654013007,10,TECK WHYE LRT STATION,0.2787417671555576,16,0.1006797759212129,15,13.468177456103163
1 REDHILL CL,Gan Eng Seng Primary School,0.344772800685967,8,Blk 115 Bukit Merah View,0.4898261815239192,8,0.7837365048724461,7,Tiong Bahru Plaza,1.0670386427982044,6,REDHILL MRT STATION,0.5972381382067979,4,0.1299789599399864,19,3.479703944739941
