flat,mrt,mrt_dist,num_mrt_2km
109A DEPOT RD,TELOK BLANGAH MRT STATION,1.1289027358374448,4
206D COMPASSVALE LANE,RANGGUNG LRT STATION,0.3024741490531483,16
411B FERNVALE RD,FERNVALE LRT STATION,0.20849118087674004,9
786D WOODLANDS DR 60,ADMIRALTY MRT STATION,0.6451163874209382,3
104 BEDOK RESERVOIR RD,KAKI BUKIT MRT STATION,0.6539133093819288,5
10 JLN KUKOH,CHINATOWN MRT STATION,0.5637025205648871,21
538 JURONG WEST AVE 1,LAKESIDE MRT STATION,0.8818888558973973,2
352 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.9010358381522665,4
370 WOODLANDS AVE 1,WOODLANDS MRT STATION,0.3946026793799496,5
314 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.5216694872554665,6
808 TAMPINES AVE 4,TAMPINES WEST MRT STATION,0.28414017204095743,5
602 WOODLANDS DR 42,ADMIRALTY MRT STATION,0.5756317149948921,4
271C PUNGGOL WALK,PUNGGOL MRT STATION,0.13154191254515998,23
37 TANGLIN HALT RD,COMMONWEALTH MRT STATION,0.5170424965659678,7
401 CHOA CHU KANG AVE 3,SOUTH VIEW LRT STATION,0.621995410285359,5
301 JURONG EAST ST 32,CHINESE GARDEN MRT STATION,0.3705214689690853,5
795A YISHUN RING RD,KHATIB MRT STATION,0.22482944596234455,2
41 HOLLAND DR,BUONA VISTA MRT STATION,0.33556163984399473,9
633 VEERASAMY RD,JALAN BESAR MRT STATION,0.06764507119237836,24
5 BEDOK STH AVE 2,BEDOK MRT STATION,0.5322908763889637,3
347B YISHUN AVE 11,YISHUN MRT STATION,0.8482643511492782,2
2A BOON TIONG RD,TIONG BAHRU MRT STATION,0.6845745830537557,14
246 BISHAN ST 22,BISHAN MRT STATION,1.2090166870831318,4
35 CIRCUIT RD,MATTAR MRT STATION,0.39892989789601485,11
252 HOUGANG AVE 3,KOVAN MRT STATION,0.8526258415358292,2
611 JURONG WEST ST 65,PIONEER MRT STATION,0.4047736608919012,2
375 CLEMENTI AVE 4,CLEMENTI MRT STATION,0.4200152990693845,2
192 PASIR RIS ST 12,TAMPINES EAST MRT STATION,1.2175177533587889,2
157 YISHUN ST 11,YISHUN MRT STATION,0.3232142391171123,2
111 EDGEFIELD PLAINS,MERIDIAN LRT STATION,0.2626472321113326,23
23 BENDEMEER RD,BOON KENG MRT STATION,0.22339302024750793,12
34 CASSIA CRES,MOUNTBATTEN MRT STATION,0.4381821096308491,11
17 EUNOS CRES,EUNOS MRT STATION,0.4178932010231079,9
761 CHOA CHU KANG NTH 5,YEW TEE MRT STATION,0.49499818637978915,10
248 JURONG EAST ST 24,CHINESE GARDEN MRT STATION,0.8321555941818787,4
771 WOODLANDS DR 60,ADMIRALTY MRT STATION,0.7624207842622178,3
6B BOON TIONG RD,TIONG BAHRU MRT STATION,0.42508949437773336,10
5 SEMBAWANG RD,YIO CHU KANG MRT STATION,2.1137633564283,0
212 BT BATOK ST 21,BUKIT BATOK MRT STATION,0.3562934097543176,4
140 BISHAN ST 12,BISHAN MRT STATION,0.8418562824000755,7
988B BUANGKOK GREEN,FERNVALE LRT STATION,1.3317067144124892,7
980B BUANGKOK CRES,TONGKANG LRT STATION,1.1854087735956054,7
860 TAMPINES AVE 5,TAMPINES MRT STATION,0.6062446790496384,4
787 CHOA CHU KANG NTH 6,YEW TEE MRT STATION,0.19295343379887486,5
281 TAMPINES ST 22,SIMEI MRT STATION,0.4473255437627889,8
183D RIVERVALE CRES,RUMBIA LRT STATION,0.31059700463739276,19
146 JLN BT MERAH,OUTRAM PARK MRT STATION,0.9805942119463108,9
128 BT MERAH VIEW,TIONG BAHRU MRT STATION,0.5681551581650497,6
695 JURONG WEST CTRL 1,BOON LAY MRT STATION,0.46186904975352244,3
803 CHAI CHEE RD,BEDOK MRT STATION,0.8214004688168547,5
798 WOODLANDS DR 72,ADMIRALTY MRT STATION,0.453955131145658,3
206 BT BATOK ST 21,BUKIT BATOK MRT STATION,0.2622077102581196,5
352 YISHUN RING RD,YISHUN MRT STATION,1.1504308348806214,2
450 BT PANJANG RING RD,FAJAR LRT STATION,0.17860681740076095,12
195C PUNGGOL RD,COVE LRT STATION,0.21941344906348717,24
424 SERANGOON CTRL,SERANGOON MRT STATION,0.2840179247480976,8
407 SERANGOON AVE 1,SERANGOON MRT STATION,0.2866097696381949,7
202B PUNGGOL FIELD,COVE LRT STATION,0.18512082132937122,25
374 CLEMENTI AVE 4,CLEMENTI MRT STATION,0.4971893543087174,2
727 CLEMENTI WEST ST 2,CLEMENTI MRT STATION,1.2124595554092232,2
111 ANG MO KIO AVE 4,ANG MO KIO MRT STATION,1.402237521606825,2
889 TAMPINES ST 81,TAMPINES WEST MRT STATION,0.9524410406977706,4
603 HOUGANG AVE 4,HOUGANG MRT STATION,0.6776950558203986,6
118D JLN MEMBINA,TIONG BAHRU MRT STATION,0.39141821707439967,7
243 BISHAN ST 22,ANG MO KIO MRT STATION,1.1210624221621739,4
113 BT PURMEI RD,HARBOURFRONT MRT STATION,1.1957162059837048,7
345 YISHUN AVE 11,YISHUN MRT STATION,1.0146182422559546,2
607 SENJA RD,SENJA LRT STATION,0.09885873655297686,17
341 CLEMENTI AVE 5,CLEMENTI MRT STATION,0.6246275728146758,2
436 TAMPINES ST 43,TAMPINES EAST MRT STATION,0.5033675636518973,5
401 FAJAR RD,PETIR LRT STATION,0.3844263478415718,13
588A MONTREAL DR,SEMBAWANG MRT STATION,0.6479791563447412,1
209 JURONG EAST ST 21,JURONG EAST MRT STATION,0.5726225351076335,4
621 WOODLANDS DR 52,ADMIRALTY MRT STATION,0.7859877169424665,4
